bairro,tipologia,piso_p1,p5,mediana,p95,teto_p995,escrituras,janela
RAMOS,Apartamento,2022,2336,3631,4658,5014,147,5 anos
RAMOS,Casa,1371,1371,2302,4144,4144,20,3 anos
RAMOS,Casa,1246,1346,2071,3412,4144,37,5 anos
REALENGO,Apartamento,1956,1956,2672,3468,3468,66,3 anos
REALENGO,Apartamento,1529,1956,2644,3468,3468,96,5 anos
REALENGO,Casa,1025,1050,1589,2285,2692,43,3 anos
REALENGO,Casa,1021,1025,1589,2353,2692,51,5 anos
RECREIO DOS BANDEIRANTES,Apartamento,4596,5212,6391,7935,11788,4076,3 anos
RECREIO DOS BANDEIRANTES,Apartamento,4398,4872,5945,7435,11467,7825,5 anos
RECREIO DOS BANDEIRANTES,Casa,3000,4693,5646,6798,7175,114,3 anos
RECREIO DOS BANDEIRANTES,Casa,3474,4404,5331,6605,7175,304,5 anos
RIACHUELO,Apartamento,2315,2584,3274,4366,5330,83,3 anos
RIACHUELO,Apartamento,2235,2442,3253,4720,5330,116,5 anos
RIACHUELO,Casa,1786,1786,1971,2179,2179,10,3 anos
RIACHUELO,Casa,1627,1627,1968,2179,2179,12,5 anos
RIBEIRA,Apartamento,2461,3162,4634,5952,6078,45,3 anos
RIBEIRA,Apartamento,2276,2647,4453,5941,6078,73,5 anos
RICARDO DE ALBUQUERQUE,Apartamento,1711,1711,1711,1711,1711,2,3 anos
RICARDO DE ALBUQUERQUE,Apartamento,1225,1225,1468,1711,1711,4,5 anos
RICARDO DE ALBUQUERQUE,Casa,1024,1024,1165,1675,1675,11,3 anos
RICARDO DE ALBUQUERQUE,Casa,917,917,1165,1675,1675,13,5 anos
RIO COMPRIDO,Apartamento,2158,2658,4373,7493,7493,511,3 anos
RIO COMPRIDO,Apartamento,2248,2658,4270,7275,7493,728,5 anos
RIO COMPRIDO,Casa,1936,1936,2405,2685,2685,10,3 anos
RIO COMPRIDO,Casa,1841,1841,2010,2685,2685,13,5 anos
ROCHA,Apartamento,2554,2554,2841,4046,4135,40,3 anos
ROCHA,Apartamento,2177,2546,2854,4309,4425,69,5 anos
ROCHA,Casa,1720,1720,1872,2023,2023,4,3 anos
ROCHA,Casa,1324,1324,1720,2023,2023,15,5 anos
ROCHA MIRANDA,Apartamento,2061,2061,2148,2963,2963,11,3 anos
ROCHA MIRANDA,Apartamento,1863,1863,2629,3449,3449,21,5 anos
ROCHA MIRANDA,Casa,1683,1683,1992,2301,2301,4,3 anos
ROCHA MIRANDA,Casa,1260,1260,1558,2301,2301,12,5 anos
SAMPAIO,Apartamento,1823,1823,2827,3013,3013,15,3 anos
SAMPAIO,Apartamento,1823,1823,2672,2957,3013,31,5 anos
SAMPAIO,Casa,2302,2302,2302,2302,2302,2,3 anos
SAMPAIO,Casa,1582,1582,1708,2302,2302,8,5 anos
SANTA CRUZ,Apartamento,1631,1709,2402,3238,3238,309,3 anos
SANTA CRUZ,Apartamento,1631,1685,2321,3186,3238,346,5 anos
SANTA CRUZ,Casa,693,693,1279,1866,1866,4,3 anos
SANTA CRUZ,Casa,693,693,1069,1866,1866,14,5 anos
SANTA TERESA,Apartamento,3414,3561,5370,7375,8179,259,3 anos
SANTA TERESA,Apartamento,3322,3520,5000,6996,7967,408,5 anos
SANTA TERESA,Casa,3292,3292,3905,9263,9263,6,3 anos
SANTA TERESA,Casa,2220,2220,3598,9263,9263,8,5 anos
SANTÍSSIMO,Apartamento,1957,1957,2154,2370,2490,122,3 anos
SANTÍSSIMO,Apartamento,1957,1957,2154,2370,2490,140,5 anos
SANTÍSSIMO,Casa,1509,1509,1587,1752,1757,33,3 anos
SANTÍSSIMO,Casa,1452,1509,1597,1749,1757,61,5 anos
SANTO CRISTO,Apartamento,4207,4700,7706,9816,10306,583,3 anos
SANTO CRISTO,Apartamento,3421,4111,4835,9043,9949,2330,5 anos
SANTO CRISTO,Casa,1156,1156,1156,1156,1156,4,3 anos
SANTO CRISTO,Casa,1156,1156,1156,1156,1156,4,5 anos
SÃO CONRADO,Apartamento,7211,7934,9911,23445,26153,280,3 anos
SÃO CONRADO,Apartamento,5206,7288,9652,23348,25804,429,5 anos
SÃO CONRADO,Casa,4826,4826,5219,5612,5612,4,5 anos
SÃO CRISTÓVÃO,Apartamento,3173,4043,6220,8499,8680,490,3 anos
SÃO CRISTÓVÃO,Apartamento,3080,3747,6030,7802,8618,670,5 anos
SÃO CRISTÓVÃO,Casa,1342,1342,2093,2535,2535,14,3 anos
SÃO CRISTÓVÃO,Casa,1316,1316,1745,2944,2944,37,5 anos
SÃO FRANCISCO XAVIER,Apartamento,2789,3094,4225,5114,5523,408,3 anos
SÃO FRANCISCO XAVIER,Apartamento,2586,2893,4346,5114,5523,693,5 anos
SAÚDE,Casa,1217,1217,1217,1217,1217,4,3 anos
SAÚDE,Casa,1217,1217,1217,1217,1217,4,5 anos
SENADOR CAMARÁ,Apartamento,1461,1461,1559,1715,1715,11,3 anos
SENADOR CAMARÁ,Apartamento,985,1303,1715,2635,2635,39,5 anos
SENADOR CAMARÁ,Casa,1023,1023,1485,1485,1485,5,3 anos
SENADOR CAMARÁ,Casa,1023,1023,1028,1485,1485,7,5 anos
SENADOR VASCONCELOS,Apartamento,2007,2007,2007,2178,2178,6,3 anos
SENADOR VASCONCELOS,Apartamento,1941,1941,2007,2834,2834,12,5 anos
SENADOR VASCONCELOS,Casa,1370,1370,1838,2418,2418,17,3 anos
SENADOR VASCONCELOS,Casa,1293,1293,1619,2406,2418,22,5 anos
TANQUE,Apartamento,2561,3028,3815,4766,5067,126,3 anos
TANQUE,Apartamento,2549,2730,3654,4480,5067,185,5 anos
TANQUE,Casa,1409,1409,1630,3059,3059,19,3 anos
TANQUE,Casa,1409,1514,1783,3030,3059,42,5 anos
TAQUARA,Apartamento,2639,3427,4370,5518,6344,1080,3 anos
TAQUARA,Apartamento,2755,3347,4250,5306,6344,1980,5 anos
TAQUARA,Casa,1631,1925,3133,3941,3967,45,3 anos
TAQUARA,Casa,1632,1862,2626,3835,4049,109,5 anos
TAUÁ,Apartamento,2465,2628,3712,4527,5813,65,3 anos
TAUÁ,Apartamento,2465,2597,3612,4527,5813,90,5 anos
TAUÁ,Casa,1628,1628,1962,3065,3065,12,3 anos
TAUÁ,Casa,1628,1628,1938,3065,3065,14,5 anos
TIJUCA,Apartamento,3187,4250,5780,9022,10048,3967,3 anos
TIJUCA,Apartamento,3178,3995,5681,8861,10048,6343,5 anos
TIJUCA,Casa,3256,3498,5146,6028,6104,31,3 anos
TIJUCA,Casa,2356,3363,4500,5864,6104,66,5 anos
TODOS OS SANTOS,Apartamento,3145,3416,4913,6400,6612,682,3 anos
TODOS OS SANTOS,Apartamento,3147,3477,4913,6400,6582,1236,5 anos
TODOS OS SANTOS,Casa,2188,2188,2408,3167,3167,17,3 anos
TODOS OS SANTOS,Casa,2110,2156,2408,3370,3825,35,5 anos
TOMÁS COELHO,Apartamento,2204,2204,2488,2773,2773,4,3 anos
TOMÁS COELHO,Apartamento,2007,2007,2602,2773,2773,10,5 anos
TOMÁS COELHO,Casa,1542,1542,1650,1759,1759,4,3 anos
TOMÁS COELHO,Casa,1542,1542,1650,1759,1759,4,5 anos
TURIAÇÚ,Apartamento,2475,2475,2712,2970,2970,10,3 anos
TURIAÇÚ,Apartamento,2475,2475,2716,2970,2970,12,5 anos
TURIAÇÚ,Casa,1944,1944,2008,2072,2072,4,3 anos
TURIAÇÚ,Casa,981,981,1462,2072,2072,8,5 anos
URCA,Apartamento,11269,11609,13501,25068,26250,44,3 anos
URCA,Apartamento,10007,11285,13501,18371,26250,63,5 anos
URCA,Casa,10338,10338,10338,10338,10338,2,3 anos
URCA,Casa,10338,10338,10338,10338,10338,4,5 anos
VARGEM GRANDE,Apartamento,4536,4899,5144,5930,6025,147,3 anos
VARGEM GRANDE,Apartamento,4536,4800,5040,5930,6068,335,5 anos
VARGEM GRANDE,Casa,3036,3246,3956,4697,4862,35,3 anos
VARGEM GRANDE,Casa,2592,2823,3694,4741,4862,90,5 anos
VARGEM PEQUENA,Apartamento,3992,4017,4494,6248,6248,148,3 anos
VARGEM PEQUENA,Apartamento,3968,4017,4494,6050,6248,305,5 anos
VARGEM PEQUENA,Casa,2310,2310,4171,5128,5263,88,3 anos
VARGEM PEQUENA,Casa,1885,2145,3787,4853,5263,184,5 anos
VASCO DA GAMA,Apartamento,2681,2681,3684,3684,3684,9,3 anos
VASCO DA GAMA,Apartamento,2199,2512,3684,4094,4094,34,5 anos
VAZ LOBO,Apartamento,1555,2175,2758,3434,3569,40,3 anos
VAZ LOBO,Apartamento,1555,2208,2926,3489,3569,68,5 anos
VAZ LOBO,Casa,969,969,1200,1431,1431,4,3 anos
VAZ LOBO,Casa,969,969,1255,1431,1431,6,5 anos
VICENTE DE CARVALHO,Apartamento,2378,2742,4276,5050,5167,83,3 anos
VICENTE DE CARVALHO,Apartamento,2531,2754,4096,5026,5167,167,5 anos
VICENTE DE CARVALHO,Casa,1675,1675,2812,3696,3696,14,3 anos
VICENTE DE CARVALHO,Casa,1353,1353,2276,3696,3696,16,5 anos
VIDIGAL,Apartamento,4094,4094,7133,13200,13200,8,3 anos
VIDIGAL,Apartamento,3929,3929,4950,13200,13200,10,5 anos
VIDIGAL,Casa,8180,8180,8180,8180,8180,2,5 anos
VIGÁRIO GERAL,Apartamento,1758,1758,1758,1758,1758,2,3 anos
VIGÁRIO GERAL,Apartamento,1758,1758,1874,1990,1990,4,5 anos
VIGÁRIO GERAL,Casa,683,683,1144,1144,1144,12,5 anos
VILA DA PENHA,Apartamento,2722,3117,4737,5631,6273,289,3 anos
VILA DA PENHA,Apartamento,2670,3138,4493,5617,6272,506,5 anos
VILA DA PENHA,Casa,1998,1998,2567,3363,3383,23,3 anos
VILA DA PENHA,Casa,1998,1998,2444,3323,3383,27,5 anos
VILA ISABEL,Apartamento,2775,3259,4569,6530,8039,1079,3 anos
VILA ISABEL,Apartamento,2774,3240,4548,6530,7696,1792,5 anos
VILA ISABEL,Casa,2616,2619,3196,4302,4302,36,3 anos
VILA ISABEL,Casa,2516,2616,3165,5634,6739,58,5 anos
VILA KOSMOS,Apartamento,2514,2514,2752,4033,4033,19,3 anos
VILA KOSMOS,Apartamento,2514,2514,2982,4014,4033,22,5 anos
VILA KOSMOS,Casa,2179,2179,2404,2640,2640,20,3 anos
VILA KOSMOS,Casa,1570,1675,2308,2640,2640,36,5 anos
VILA MILITAR,Casa,1628,1628,1628,1628,1628,2,5 anos
VILA VALQUEIRE,Apartamento,1765,2147,4157,5565,5948,216,3 anos
VILA VALQUEIRE,Apartamento,1765,2336,3937,5449,5948,385,5 anos
VILA VALQUEIRE,Casa,1544,1615,2548,3729,3958,30,3 anos
VILA VALQUEIRE,Casa,988,1202,2281,3449,3958,59,5 anos
VISTA ALEGRE,Apartamento,2606,2606,3197,4463,4463,10,3 anos
VISTA ALEGRE,Apartamento,2198,2294,3273,3995,4463,29,5 anos
VISTA ALEGRE,Casa,1748,1748,2511,2717,2717,6,3 anos
VISTA ALEGRE,Casa,1164,1164,1769,2717,2717,10,5 anos
ZUMBI,Apartamento,3365,3399,4878,5963,6089,26,3 anos
ZUMBI,Apartamento,3365,3439,4788,5813,6089,32,5 anos
ZUMBI,Casa,1523,1523,1523,1523,1523,2,5 anos
